symbol,base,quote,exchange,type,active
ELIZAOS/USD,ELIZAOS,USD,kraken,spot,True
ELX/EUR,ELX,EUR,kraken,spot,True
ELX/USD,ELX,USD,kraken,spot,True
ENA/EUR,ENA,EUR,kraken,spot,True
ENA/USD,ENA,USD,kraken,spot,True
ENJ/EUR,ENJ,EUR,kraken,spot,True
ENJ/USD,ENJ,USD,kraken,spot,True
ENS/EUR,ENS,EUR,kraken,spot,True
ENSO/EUR,ENSO,EUR,kraken,spot,True
ENSO/USD,ENSO,USD,kraken,spot,True
ENS/USD,ENS,USD,kraken,spot,True
EPT/EUR,EPT,EUR,kraken,spot,True
EPT/USD,EPT,USD,kraken,spot,True
ES/EUR,ES,EUR,kraken,spot,True
ESP/EUR,ESP,EUR,kraken,spot,True
ESPORTS/USD,ESPORTS,USD,kraken,spot,True
ESP/USD,ESP,USD,kraken,spot,True
ES/USD,ES,USD,kraken,spot,True
ESX/EUR,ESX,EUR,kraken,spot,True
ESX/USD,ESX,USD,kraken,spot,True
ETH/AUD,ETH,AUD,kraken,spot,True
ETH/CHF,ETH,CHF,kraken,spot,True
ETH/DAI,ETH,DAI,kraken,spot,True
ETH/EURC,ETH,EURC,kraken,spot,True
ETH/EUROP,ETH,EUROP,kraken,spot,True
ETH/FIDD,ETH,FIDD,kraken,spot,True
ETHFI/EUR,ETHFI,EUR,kraken,spot,True
ETHFI/USD,ETHFI,USD,kraken,spot,True
ETH/PYUSD,ETH,PYUSD,kraken,spot,True
ETH/USD1,ETH,USD1,kraken,spot,True
ETH/USDC,ETH,USDC,kraken,spot,True
ETH/USDT,ETH,USDT,kraken,spot,True
EUL/EUR,EUL,EUR,kraken,spot,True
EUL/USD,EUL,USD,kraken,spot,True
EUR/AUD,EUR,AUD,kraken,spot,True
EUR/CAD,EUR,CAD,kraken,spot,True
EURC/EUR,EURC,EUR,kraken,spot,True
EUR/CHF,EUR,CHF,kraken,spot,True
EURC/USD,EURC,USD,kraken,spot,True
EURC/USDC,EURC,USDC,kraken,spot,True
EUR/GBP,EUR,GBP,kraken,spot,True
EUR/JPY,EUR,JPY,kraken,spot,True
EUROP/EUR,EUROP,EUR,kraken,spot,True
EUROP/USD,EUROP,USD,kraken,spot,True
EUROP/USDC,EUROP,USDC,kraken,spot,True
EURQ/EUR,EURQ,EUR,kraken,spot,True
EURQ/USD,EURQ,USD,kraken,spot,True
EURR/EUR,EURR,EUR,kraken,spot,True
EURR/USD,EURR,USD,kraken,spot,True
EURR/USDC,EURR,USDC,kraken,spot,True
EURR/USDT,EURR,USDT,kraken,spot,True
EVAA/USD,EVAA,USD,kraken,spot,True
EWT/EUR,EWT,EUR,kraken,spot,True
EWT/USD,EWT,USD,kraken,spot,True
FARM/EUR,FARM,EUR,kraken,spot,True
FARM/USD,FARM,USD,kraken,spot,True
FARTCOIN/EUR,FARTCOIN,EUR,kraken,spot,True
FARTCOIN/USD,FARTCOIN,USD,kraken,spot,True
FARTCOIN/USDC,FARTCOIN,USDC,kraken,spot,True
FARTCOIN/USDT,FARTCOIN,USDT,kraken,spot,True
FET/EUR,FET,EUR,kraken,spot,True
FET/USD,FET,USD,kraken,spot,True
FF/EUR,FF,EUR,kraken,spot,True
FF/USD,FF,USD,kraken,spot,True
FHE/EUR,FHE,EUR,kraken,spot,True
FHE/USD,FHE,USD,kraken,spot,True
FIDA/EUR,FIDA,EUR,kraken,spot,True
FIDA/USD,FIDA,USD,kraken,spot,True
FIDD/USD,FIDD,USD,kraken,spot,True
FIDD/USDC,FIDD,USDC,kraken,spot,True
FIDD/USDT,FIDD,USDT,kraken,spot,True
FIGHT/EUR,FIGHT,EUR,kraken,spot,True
FIGHT/USD,FIGHT,USD,kraken,spot,True
FIL/ETH,FIL,ETH,kraken,spot,True
FIL/EUR,FIL,EUR,kraken,spot,True
FIL/GBP,FIL,GBP,kraken,spot,True
FIL/USD,FIL,USD,kraken,spot,True
FIL/BTC,FIL,BTC,kraken,spot,True
FIS/EUR,FIS,EUR,kraken,spot,True
FIS/USD,FIS,USD,kraken,spot,True
FLOCK/EUR,FLOCK,EUR,kraken,spot,True
FLOCK/USD,FLOCK,USD,kraken,spot,True
FLOKI/EUR,FLOKI,EUR,kraken,spot,True
FLOKI/USD,FLOKI,USD,kraken,spot,True
FLOW/EUR,FLOW,EUR,kraken,spot,True
FLOW/USD,FLOW,USD,kraken,spot,True
FLR/EUR,FLR,EUR,kraken,spot,True
FLR/USD,FLR,USD,kraken,spot,True
FLUX/EUR,FLUX,EUR,kraken,spot,True
FLUX/USD,FLUX,USD,kraken,spot,True
FLY/EUR,FLY,EUR,kraken,spot,True
FLY/USD,FLY,USD,kraken,spot,True
FOLKS/EUR,FOLKS,EUR,kraken,spot,True
FOLKS/USD,FOLKS,USD,kraken,spot,True
FOREST/EUR,FOREST,EUR,kraken,spot,False
FOREST/USD,FOREST,USD,kraken,spot,True
FORTH/EUR,FORTH,EUR,kraken,spot,True
FORTH/USD,FORTH,USD,kraken,spot,True
FRNT/USD,FRNT,USD,kraken,spot,True
FRNT/USDC,FRNT,USDC,kraken,spot,True
FUN/EUR,FUN,EUR,kraken,spot,True
FUN/USD,FUN,USD,kraken,spot,True
FWOG/EUR,FWOG,EUR,kraken,spot,True
FWOG/USD,FWOG,USD,kraken,spot,True
FXS/EUR,FXS,EUR,kraken,spot,True
FXS/USD,FXS,USD,kraken,spot,True
GAIA/EUR,GAIA,EUR,kraken,spot,True
GAIA/USD,GAIA,USD,kraken,spot,True
GAIB/EUR,GAIB,EUR,kraken,spot,False
GAIB/USD,GAIB,USD,kraken,spot,True
GALA/EUR,GALA,EUR,kraken,spot,True
GALA/USD,GALA,USD,kraken,spot,True
GAME2/EUR,GAME2,EUR,kraken,spot,True
GAME2/USD,GAME2,USD,kraken,spot,True
GARI/EUR,GARI,EUR,kraken,spot,True
GARI/USD,GARI,USD,kraken,spot,True
G/EUR,G,EUR,kraken,spot,True
GFI/EUR,GFI,EUR,kraken,spot,True
GFI/USD,GFI,USD,kraken,spot,True
GHIBLI/EUR,GHIBLI,EUR,kraken,spot,True
GHIBLI/USD,GHIBLI,USD,kraken,spot,True
GHST/EUR,GHST,EUR,kraken,spot,True
GHST/USD,GHST,USD,kraken,spot,True
GIB/USD,GIB,USD,kraken,spot,True
GIGA/EUR,GIGA,EUR,kraken,spot,True
